profile,gender,birthday,favorites_anime
DesolatePsyche,Male,"Oct 2, 1994","['33352', '25013', '5530', '33674', '1482', '269']"
baekbeans,Female,"Nov 10, 2000","['11061', '31964', '853']"
skrn,,,"['918', '2904', '11741']"
edgewalker00,Male,Sep 5,"['5680', '849', '2904', '3588', '37349']"
aManOfCulture99,Male,"Oct 30, 1999","['4181', '7791', '9617']"
eneri,,,"['5114', '4898', '2904', '1575', '1482']"
Waffle_Empress,,"May 29, 1996","['338', '322', '440']"
NIGGER_BONER,Male,"Jan 1, 1985","['11061', '30', '6594']"
jchang,Male,"Jul 29, 1992","['846', '2904', '5114', '2924', '72']"
shadowsplat,,,[]
angelsreview,Female,"May 26, 1989","['534', '71', '7724', '861', '5060', '853']"
CalebTheMenace,Male,"Jun 29, 2004","['4181', '11617', '1735']"
Kiethol,,,[]
Eanki,Male,"Dec 3, 1995","['27989', '28851', '17265']"
NekoKyupi,Male,"Jan 8, 2001","['34599', '4181', '9756', '32949', '30654', '28851']"
12sed,,,"['30', '16201', '22135']"
OVERPOWERED99,Male,"Nov 16, 2000","['5680', '15051', '31953']"
MrAnimeCrunch,Male,,[]
JoJo_Stalin,Male,"Aug 4, 2000","['1050', '227', '1921', '1029', '18679']"
Kaishuu,Male,"Jun 10, 1999","['27899', '1535', '2167', '22319']"
Rigas,,,"['1535', '20583', '14813']"
BenBaneki,,,[]
SakuraSan628,Female,,"['232', '8129', '7791', '10460', '18507']"
blackfaith89,,,"['9253', '4181', '2167']"
Leyvon,Male,"Oct 31, 1990","['1735', '1575', '226', '1535', '2167']"
Sime3134,Male,1996,"['4181', '9989', '8425', '27899', '1889']"
desinoh,,,['10620']
GinKagu,Female,"Mar 21, 2012","['918', '2904', '4181', '9989']"
Itaku,Male,"Jun 13, 1993",['10049']
Lucryllin,Male,"Oct 12, 1987","['177', '861', '66', '2167', '4181']"
SieghartTheMage,,,"['9253', '2904', '13601']"
ggultra2764,Male,"May 29, 1985","['512', '7193', '165', '440', '634']"
0Seru0,Male,"Dec 18, 1990","['7661', '582', '33']"
BowlingJD,Male,"Feb 9, 1988","['21', '235', '19', '302', '90', '474', '1453']"
gwern,Male,,[]
greatyu,Female,"Dec 27, 1993","['20', '21', '918', '11061', '934', '13125']"
Arbogast,Male,,[]
Slushpuppy282,Female,"Dec 10, 1990","['407', '3588', '177', '1604', '269']"
mattpointon77,Male,"Nov 9, 1977","['59', '205', '513']"
yolerMit,,,"['7724', '2246', '457', '8475', '7588']"
Abeyant,Male,"Apr 10, 2000","['35839', '457', '7785']"
SamuraiSteve,,,"['7588', '3701', '1', '43', '22135', '33983', '339']"
kyojin13,Male,Oct 6,"['31043', '28891', '33486', '22135', '245', '268', '12531']"
HybridMedia,Male,"Oct 3, 1990","['1016', '1292', '205', '47', '1']"
eyerok,Male,"Sep 8, 1987","['820', '457', '205']"
patrickRos,,,"['457', '486', '239']"
shadowfireflame,Female,,"['853', '121', '18507', '4898', '3655']"
SerpentineJ,,,"['19', '918', '9941']"
tinypinkghostie,Female,"Jan 1, 1983","['23289', '1412', '11843', '32281', '35062']"
stonnyfor,Male,,"['1412', '81', '205', '1', '2001', '33', '392', '31933']"
BabyGirl06301,Female,"Sep 6, 1997","['20', '18507', '18689']"
ToastytheBaker,Male,,['23847']
ImTheRhetorician,Male,,"['269', '5958', '7724', '1735']"
zabadoh,,,[]
Eoussama,Male,"Jun 27, 1998","['37510', '4181', '21', '2035']"
Aphyxia,Male,Aug 23,"['1575', '2904', '934', '4654', '5081']"
Shirayukishi,Female,,"['20', '877', '19', '4081', '12531', '12355']"
Creeperface,Female,Jun 2,[]
ParaParaJMo,Male,"Jun 24, 1984","['1362', '263', '81', '2402', '85', '37991']"
ChouEritto,Male,,"['820', '2921', '32']"
Yakarin,Female,Jul 17,"['4081', '1524', '457']"
Paulwillson26,Male,Sep 25,"['44', '5177', '256', '387', '9253']"
Eneko-chan,Female,"Dec 13, 1989","['2164', '153', '584', '60', '182']"
Lima-Sama,Male,"May 21, 1965","['21', '223', '20', '11061']"
Algirdyz,Male,"Jul 14, 1992","['820', '26', '457', '32', '875']"
Baconzombie,Male,"Jun 29, 1995","['3297', '820', '19']"
skankfish,Male,"Feb 19, 1984",[]
AlexJetski,Male,"May 16, 2000","['14719', '820', '7785']"
steampunkvillain,Male,"May 14, 1990","['9253', '7588', '790']"
IceAndCream,,,"['5114', '5530', '2158', '1827', '7588']"
BienAgiter,Male,"Jan 12, 1991","['2904', '4181', '5114', '3784', '6594']"
bleeb,Female,"Jul 7, 1990","['431', '114', '1205', '3326']"
Jolon,,,"['39071', '444', '7588', '2942', '3297', '820']"
Seabury,Male,"Dec 26, 1988","['30', '440', '199', '514', '572', '34522']"
Fleure,Female,,"['440', '3297', '457', '22135', '877']"
Jodyqt,Male,"Jan 21, 1991","['2828', '2402', '801']"
Lindle,Non-Binary,"Aug 6, 1991","['820', '7785', '1']"
ZephSilver,Male,"Nov 30, 1993","['790', '285', '570', '1299', '239', '457']"
Mimi_Taylor,Female,"Oct 2, 1988","['12029', '820', '2158']"
Detective,Male,Aug 31,"['32', '199', '4224']"
sillikorae,,,['4181']
